id,Model,Version release date,Link,Notes,Hugging Face developer id,Display name,Knowledge cutoff date,Description,Official release,Unique display name,ML Models,ML Models 2,ML Models 3,Model publication date,API prices,API Prices (new),Model aggregation,Model aggregation date,ML Models copy,ML Models copy
gpt-4-0314,GPT-4 (Mar 2023),2023-03-14,https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023.
This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4-and-gpt-4-turbo-models.",,GPT-4 (Mar 2023),2021-09-01,"The March 2023 version of GPT-4, OpenAI's 2023 multimodal flagship model.",,,GPT-4,GPT-4,,2023-03-15,,"gpt-4-0314_2026-03-05_OpenAI,gpt-4-0314_2026-03-05_OpenAI,gpt-4-0314_2026-03-05_Azure",,,,GPT-4 (Mar 2023)
gpt-4-0613,GPT-4 (Jun 2023),2023-06-13,https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023.
This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4-and-gpt-4-turbo-models.",,GPT-4 (Jun 2023),2021-09-01,"The June 2023 version of GPT-4, OpenAI's 2023 multimodal flagship model.",,,,,,2023-06-13,,"gpt-4-0613_2026-03-05_OpenAI,gpt-4-0613_2026-03-05_Azure",,,,GPT-4 (Jun 2023)
gpt-4-turbo,GPT-4 Turbo (Nov 2023),2023-11-06,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,"First version of GPT-4 Turbo

I didn't find reference to it in release / deprecation notes. 

This model seems to have had a knowledge cutoff date of April 1, 2023, according to https://www.proxet.com/blog/openai-release-notes-november-2023.",,,2023-04-01,An updated version of GPT-4 and OpenAI's then-new flagship language model.,,,,,,2023-11-06,,"gpt-4-turbo_2026-03-05_OpenAI,gpt-4-turbo_2026-03-05_OpenAI",,,,GPT-4 Turbo (Nov 2023)
gpt-4-turbo-2024-04-09,GPT-4 Turbo (Apr 2024),2024-04-09,https://x.com/OpenAI/status/1778574613813006610,"Our new GPT-4 Turbo is now available to paid ChatGPT users. We’ve improved capabilities in writing, math, logical reasoning, and coding",,,2023-12-01,"The April 2024 version of GPT-4 Turbo, OpenAI's then-flagship language model.",,,,,,2024-04-09,,gpt-4-turbo-2024-04-09_2026-03-05_OpenAI,,,,GPT-4 Turbo (Apr 2024)
gpt-4o-2024-11-20,GPT-4o,2024-11-20,https://platform.openai.com/docs/models#gpt-4o,"GPT-4o (“o” for “omni”) is our versatile, high-intelligence flagship model. It accepts both text and image inputs, and produces text outputs (including Structured Outputs). 
The knowledge cutoff for GPT-4o models is October, 2023 (https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4o-and-gpt-4-turbo).",,GPT-4o (Nov 2024),2023-10-01,"The November 2024 version of GPT-4o, OpenAI's then-flagship multimodal language model.",,,,,,2024-05-13,,"gpt-4o-2024-11-20_2026-03-05_OpenAI,gpt-4o-2024-11-20_2026-03-05_OpenAI,gpt-4o-2024-11-20_2026-03-05_Azure",GPT-4o (Nov 2024),,,GPT-4o
grok-2-1212,Grok-2,2024-12-12,https://x.ai/blog/grok-1212,"""Our latest text model supporting structured outputs, with improved efficiency, speed and capabilities.""",,,,XAI's second generation Grok model.,,,,,,2024-08-13,,,Grok-2 (Dec 2024),,,Grok-2
Llama-2-70b-chat-hf,Llama 2-70B,2023-07-18,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,"The chat 70B model in HF transformers format
""The pretraining data has a cutoff of September 2022, but some tuning data is more recent, up to July 2023,"" according to https://huggingface.co/meta-llama/Llama-2-70b-chat-hf.",meta-llama,,2023-07-01,A chat-optimized version of the 70-billion parameter model in Meta's Llama 2 series.,,,,,,2023-07-18,,,,,,Llama 2-70B
Meta-Llama-3-8B-Instruct,Llama 3-8B,2024-04-18,https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct,"Knowledge cutoff date is March 1, 2023, according to https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct.",meta-llama,,2023-03-01,An instruction-tuned version of the 8 billion-parameter model in Meta's Llama 3 series.,,,,,,2024-04-18,,,,,,Llama 3-8B
Llama-3.1-70B-Instruct,Llama 3.1-70B,2024-07-23,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct.",meta-llama,,2023-12-01,"An instruction-optimized version of Llama 3.1 70B, the 70 billion-parameter model in Meta's Llama 3.1 series.",,,,,,2024-07-23,,"Llama-3.1-70B-Instruct_2026-03-05_DeepInfra,Llama-3.1-70B-Instruct_2026-03-05_DeepInfra,Llama-3.1-70B-Instruct_2026-03-05_Hyperbolic,Llama-3.1-70B-Instruct_2026-03-05_Together,Llama-3.1-70B-Instruct_2026-03-05_Novita",,,,Llama 3.1-70B
Mistral-7B-Instruct-v0.3,Mistral 7B,2024-05-27,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,,mistralai,,,"An instruction-tuned version of Mistral-7B-v0.3, an updated version of their 7 billion-parameter model.",,,,,,2023-10-10,,,Mistral 7B v0.3,,,Mistral 7B
Mistral-Large-Instruct-2407,Mistral Large 2,2024-07-24,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407,,mistralai,Mistral Large 2407,,A 123 billion-parameter model from Mistral.,,Mistral Large 2407,,,,2024-07-24,,,Mistral Large 2 (Jul 2024),,,Mistral Large 2
Mixtral-8x7B-Instruct-v0.1,Mixtral 8x7B,2023-12-11,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1,,mistralai,,,An instruction-tuned version of Mistral's 7 billion active (56 billion total)-parameter mixture-of-experts model,,,,,,2023-12-11,,"Mixtral-8x7B-Instruct-v0.1_2026-03-05_DeepInfra,Mixtral-8x7B-Instruct-v0.1_2026-03-05_Together",,,,Mixtral 8x7B
Mixtral-8x22B-Instruct-v0.1,Mixtral 8x22B,2024-04-17,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,,mistralai,,,An instruction-tuned version of Mistral's 8 billion active (176 billion total)-parameter mixture-of-experts model,,,,,,2024-04-17,,Mixtral-8x22B-Instruct-v0.1_2026-03-05_Mistral,,,,Mixtral 8x22B
o1-2024-12-17_medium,o1,2024-12-17,https://platform.openai.com/docs/models#o1,"The o1 series of models are trained with reinforcement learning to perform complex reasoning. o1 models think before they answer, producing a long internal chain of thought before responding to the user. Learn about the capabilities of o1 models in our reasoning guide.

There are two model types available today:

o1: reasoning model designed to solve hard problems across domains
o1-mini: fast and affordable reasoning model for specialized tasks
The latest o1 model supports both text and image inputs, and produces text outputs (including Structured Outputs). o1-mini currently only supports text inputs and outputs.

The knowledge cutoff for o1 and o1-mini models is October, 2023.

Knowledge cutoff date of o1-2024-12-17 is September 30, 2023, according to https://platform.openai.com/docs/models/o1.",,o1 (medium),2023-09-30,"OpenAI's first reasoning model, evaluated with at the medium reasoning effort level.",,,,,,2024-12-05,,o1-2024-12-17_medium_2026-03-05_OpenAI,,,,o1
qwen1.5-32b-chat,Qwen1.5-32B,2024-04-03,https://huggingface.co/Qwen/Qwen1.5-32B-Chat,,Qwen,,,A chat-optimized 32 billion-parameter model in the Qwen 1.5 series.,,Qwen1.5-32B (chat),,,,2024-02-05,,,,,,Qwen1.5-32B
qwen2.5-72b-instruct,Qwen2.5-72B,2024-09-19,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,,Qwen,,,An instruction-tuned version of the 72 billion-parameter model in the Qwen 2.5 series.,,Qwen2.5-72B,,,,2024-09-19,,"qwen2.5-72b-instruct_2026-03-05_DeepInfra,qwen2.5-72b-instruct_2026-03-05_Novita",,,,Qwen2.5-72B
Yi-1.5-34B,Yi-1.5-34B,2024-05-13,https://huggingface.co/01-ai/Yi-1.5-34B,,01-ai,,,,,Yi-1.5-34B,,,,2024-05-13,,,,,,Yi-1.5-34B
Yi-34B,Yi-34B,2023-11-02,https://huggingface.co/01-ai/Yi-34B,,01-ai,,,,,Yi-34B,,,,2023-11-02,,,Yi-34B,2023-11-02,,Yi-34B
gpt-4o-mini-2024-07-18,GPT-4o mini,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,"GPT-4o mini (“o” for “omni”) is a fast, affordable small model for focused tasks. It accepts both text and image inputs, and produces text outputs (including Structured Outputs). It is ideal for fine-tuning, and model outputs from a larger model like GPT-4o can be distilled to GPT-4o-mini to produce similar results at lower cost and latency.

The knowledge cutoff for GPT-4o-mini models is October, 2023 (https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4o-and-gpt-4-turbo).",,,2023-10-01,A smaller version of OpenAI's GPT-4o.,,,GPT-4o mini,GPT-4o mini,,2024-07-18,,"gpt-4o-mini-2024-07-18_2026-03-05_OpenAI,gpt-4o-mini-2024-07-18_2026-03-05_OpenAI,gpt-4o-mini-2024-07-18_2026-03-05_Azure",,,,GPT-4o mini
DeepSeek-V2-Chat-0628,DeepSeek-V2 (MoE-236B),2024-06-28,https://huggingface.co/deepseek-ai/DeepSeek-V2-Chat-0628,,deepseek-ai,,,,,,,,,2024-05-07,,,"DeepSeek-V2 (MoE-236B, Jun 2024)",,,DeepSeek-V2 (MoE-236B)
DeepSeek-Prover-V1.5-Base,DeepSeek-Prover-V1.5,2024-08-15,https://huggingface.co/deepseek-ai/DeepSeek-Prover-V1.5-Base,,deepseek-ai,,,,,DeepSeek Prover V1.5 (base),,,,2024-08-15,,,,,,DeepSeek-Prover-V1.5
DeepSeek-Prover-V1.5-SFT,DeepSeek-Prover-V1.5,2024-08-15,https://huggingface.co/deepseek-ai/DeepSeek-Prover-V1.5-SFT,,deepseek-ai,,,,,DeepSeek Prover V1.5 (SFT),,,,2024-08-15,,,,,,DeepSeek-Prover-V1.5
DeepSeek-Prover-V1.5-RL,DeepSeek-Prover-V1.5,2024-08-15,https://huggingface.co/deepseek-ai/DeepSeek-Prover-V1.5-RL,,deepseek-ai,,,,,DeepSeek Prover V1.5 (RL),,,,2024-08-15,,,,,,DeepSeek-Prover-V1.5
gpt-4-1106-vision-preview,GPT-4V,2023-11-06,,"Knowledge cutoff is April 1, 2023, according to https://www.datacamp.com/blog/gpt4-turbo",,,2023-04-01,,,,,,,2023-09-25,,,,,,GPT-4V
gpt-4-32k-0314,GPT-4 (Mar 2023),2023-03-14,https://platform.openai.com/docs/deprecations,"to be shut down 2025-06-06
This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4-and-gpt-4-turbo-models.",,,2021-09-01,,,,GPT-4,GPT-4,,2023-03-15,,,,,,GPT-4 (Mar 2023)
gpt-4-32k-0613,GPT-4 (Jun 2023),2023-06-13,https://platform.openai.com/docs/deprecations,"to be shut down 2025-06-06
This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4-and-gpt-4-turbo-models.",,,2021-09-01,,,,,,,2023-06-13,,,,,,GPT-4 (Jun 2023)
gpt-3.5-turbo-0613,GPT-3.5 Turbo,2023-06-13,https://platform.openai.com/docs/deprecations#2023-11-06-chat-model-updates,"was deprecated 2024-09-13
This model appears to have had a knowledge cutoff date of September 1, 2021, like its 16k counterpart (https://docsbot.ai/models/compare/gpt-3-5-turbo-16k/gpt-4-0613).",,GPT-3.5 Turbo (June 2023),2021-09-01,,,GPT-3.5 Turbo (June 2023),GPT-3.5 Turbo,GPT-3.5 Turbo,,2023-06-13,,gpt-3.5-turbo-0613_2026-03-05_Azure,GPT-3.5 Turbo (Jun 2023),,,GPT-3.5 Turbo
gpt-3.5-turbo-16k-0613,GPT-3.5 Turbo,2023-06-13,https://platform.openai.com/docs/deprecations#2023-11-06-chat-model-updates,"was deprecated 2024-09-13
This model appears to have had a knowledge cutoff date of September 1, 2021, according to https://docsbot.ai/models/compare/gpt-3-5-turbo-16k/gpt-4-0613.",,GPT-3.5 Turbo (June 2023),2021-09-01,,,"GPT-3.5 Turbo (June 2023, 16k context)",GPT-3.5 Turbo,GPT-3.5 Turbo,,2023-06-13,,"gpt-3.5-turbo-16k-0613_2026-03-05_OpenAI,gpt-3.5-turbo-16k-0613_2026-03-05_Azure",GPT-3.5 Turbo (Jun 2023),,,GPT-3.5 Turbo
text-ada-001,InstructGPT 350M,,https://platform.openai.com/docs/deprecations#instructgpt-models,was deprecated 2024-01-04,,,,,,,,,,2022-01-27,,,,,,InstructGPT 350M
text-babbage-001,InstructGPT 1.3B,,https://platform.openai.com/docs/deprecations#instructgpt-models,was deprecated 2024-01-04,,,,,,,,,,2022-01-27,,,,,,InstructGPT 1.3B
text-curie-001,InstructGPT 6B,,https://platform.openai.com/docs/deprecations#instructgpt-models,was deprecated 2024-01-04,,,,,,,,,,2022-01-27,,,,,,InstructGPT 6B
text-davinci-001,InstructGPT 175B,2022-01-27,https://platform.openai.com/docs/deprecations#instructgpt-models,was deprecated 2024-01-04,,,,,,,,,,2022-01-27,,,,,,InstructGPT 175B
text-davinci-002,GPT-3.5 (davinci-002),2022-03-15,https://platform.openai.com/docs/deprecations#instructgpt-models,"was deprecated 2024-01-04

from Wikipedia: Similar capabilities to text-davinci-003 but trained with supervised fine-tuning instead of reinforcement learning

from CaLM: Text-davinci-002 is one of the models in the GPT 3.5 series. Like former InstructGPT models[1], it undergoes a training process that includes supervised fine-tuning using examples crafted by humans. Originating from code-davinci-002, this model possesses the capability to modify or augment existing text with new content, extending beyond mere text completion`",,,,,,,,,,2022-03-15,,,davinci-002,,,"""GPT-3.5 (davinci-002)
"""
text-davinci-003,GPT-3.5 (davinci-003),2022-11-28,https://platform.openai.com/docs/deprecations#instructgpt-models,"was deprecated 2024-01-04

from CaLM: text-davinci-003, a variant within the GPT 3.5 series, builds upon text-davinci-002[1,2] and incorporates reinforcement learning (PPO) through reward models. It applies instruction tuning based on reinforcement learning from human feedbac",,,,,,,GPT-3.5,GPT-3.5,,2022-11-28,,,davinci-003,,,GPT-3.5 (davinci-003)
ada,GPT-3 Medium,,https://platform.openai.com/docs/deprecations#base-gpt-models,was deprecated 2024-01-04,,,,,,,,,,2020-06-22,,,,,,GPT-3 Medium
babbage,GPT-3 XL,2020-06-22,https://platform.openai.com/docs/deprecations#base-gpt-models,was deprecated 2024-01-04,,,,,,,,,,2020-06-22,,,GPT-3 XL (babbage),,,GPT-3 XL
curie,GPT-3 6.7B,,https://platform.openai.com/docs/deprecations#base-gpt-models,was deprecated 2024-01-04,,,,,,,,,,2020-06-22,,,,,,GPT-3 6.7B
davinci,GPT-3 175B (davinci),,https://platform.openai.com/docs/deprecations#base-gpt-models,was deprecated 2024-01-04,,,,,,GPT-3 175B (davinci),,,,2020-05-28,,,,,,GPT-3 175B (davinci)
code-davinci-002,GPT-3.5 (davinci-002),2022-03-15,https://platform.openai.com/docs/deprecations#base-gpt-models,"was deprecated 2024-01-04

was likely released in early 2022 and was likely based on gpt-3.5

from Wikipedia: Similar capabilities to text-davinci-003 but trained with supervised fine-tuning instead of reinforcement learning",,,,,,,,,,2022-03-15,,,davinci-002,,,"""GPT-3.5 (davinci-002)
"""
text-davinci-edit-001,GPT-3 175B (davinci),,https://platform.openai.com/docs/deprecations#edit-models-endpoint,was deprecated 2024-01-04,,,,,,,,,,2020-05-28,,,davinci-001,,,GPT-3 175B (davinci)
code-davinci-edit-001,GPT-3 175B (davinci),,https://platform.openai.com/docs/deprecations#edit-models-endpoint,was deprecated 2024-01-04,,,,,,,,,,2020-05-28,,,davinci-001,,,GPT-3 175B (davinci)
code-cushman-002,Codex,,https://platform.openai.com/docs/deprecations#2023-03-20-codex-models,was deprecated 2023-03-23,,,,,,,,,,2021-07-07,,,,,,Codex
o,Codex,,https://platform.openai.com/docs/deprecations#2023-03-20-codex-models,was deprecated 2023-03-23,,,,,,,,,,2021-07-07,,,,,,Codex
text-embedding-3-small,text-embedding-3-small,2024-01-25,https://platform.openai.com/docs/models#embeddings,"Embeddings are a numerical representation of text that can be used to measure the relatedness between two pieces of text. Embeddings are useful for search, clustering, recommendations, anomaly detection, and classification tasks. You can read more about our latest embedding models in the announcement blog post.",,,,,,,,,,2024-01-25,,,,,,text-embedding-3-small
text-embedding-3-large,text-embedding-3-large,2024-01-25,https://platform.openai.com/docs/models#embeddings,"Embeddings are a numerical representation of text that can be used to measure the relatedness between two pieces of text. Embeddings are useful for search, clustering, recommendations, anomaly detection, and classification tasks. You can read more about our latest embedding models in the announcement blog post.",,,,,,,,,,2024-01-25,,,,,,text-embedding-3-large
claude-3-opus-20240229,Claude 3 Opus,2024-02-29,,"Knowledge cutoff date is August 1, 2023, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,,2023-08-01,The largest model in Anthropic's Claude 3 model series.,,Claude 3 Opus,,,,2024-03-04,,,,,,Claude 3 Opus
claude-3-sonnet-20240229,Claude 3 Sonnet,2024-02-29,,"Knowledge cutoff date is August 1, 2023, according to https://www.techtarget.com/searchenterpriseai/feature/Claude-AI-vs-ChatGPT-How-do-they-compare.",,,2023-08-01,The mid-sized model in Anthropic's Claude 3 model series.,,Claude 3 Sonnet,,,,2024-03-04,,,,,,Claude 3 Sonnet
dbrx-instruct,DBRX,2024-03-27,https://huggingface.co/databricks/dbrx-instruct,,databricks,,,,,DBRX (instruct),,,,2024-03-27,,,,,,DBRX
DeepSeek-V2.5-1210,DeepSeek-V2.5,2024-12-10,https://huggingface.co/deepseek-ai/DeepSeek-V2.5-1210,,deepseek-ai,DeepSeek-V2.5 (Dec 2024),,,,DeepSeek-V2.5 (Dec 2024),,,,2024-09-06,,,DeepSeek-V2.5 (Dec 2024),,,DeepSeek-V2.5
deepseek-llm-67b-chat,DeepSeek LLM 67B,2023-11-29,https://huggingface.co/deepseek-ai/deepseek-llm-67b-chat,,deepseek-ai,,,,,DeepSeek LLM 67B (chat),,,,2024-01-05,,,,,,DeepSeek LLM 67B
gemini-1.5-flash-exp-0827,Gemini 1.5 Flash,2024-08-27,,"Gemini 1.5 Flash (2024-08-27)
Knowledge cutoff date is November 1, 2023, according to https://models.portkey.ai/models/gemini-1-5-flash-exp-0827 and https://klu.ai/glossary/lmsys-leaderboard.",,,2023-11-01,,,,,,,2024-05-10,,,Gemini 1.5 Flash (Sep 2024),,,Gemini 1.5 Flash
gemini-1.5-pro-001-feb24,Gemini 1.5 Pro,2024-02-15,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-pro,"Gemini 1.5 Pro is a mid-size multimodal model that is optimized for a wide-range of reasoning tasks. 1.5 Pro can process large amounts of data at once, including 2 hours of video, 19 hours of audio, codebases with 60,000 lines of code, or 2,000 pages of text.
Knowledge cutoff date is November 1, 2023, according to https://developer.box.com/guides/box-ai/ai-models/google-gemini-1-5-pro-001-model-card/.",,,2023-11-01,"The first of two versions of a previous flagship model from Google DeepMind, Gemini 1.5 Pro.",,,,,,2024-02-15,,,Gemini 1.5 Pro (Feb 2024),2024-02-15,,Gemini 1.5 Pro
gemini-1.5-pro-002,Gemini 1.5 Pro,2024-09-24,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-pro,"Gemini 1.5 Pro is a mid-size multimodal model that is optimized for a wide-range of reasoning tasks. 1.5 Pro can process large amounts of data at once, including 2 hours of video, 19 hours of audio, codebases with 60,000 lines of code, or 2,000 pages of text.
Knowledge cutoff date is May 1, 2024, according to https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/1-5-pro.",,,2024-05-01,"The first of two versions of a previous flagship model from Google DeepMind, Gemini 1.5 Pro.",,,,,,2024-02-15,,,Gemini 1.5 Pro (Sept 2024),2024-09-24,,Gemini 1.5 Pro
gemma-2-9b-it,Gemma 2 9B,2024-06-24,https://huggingface.co/google/gemma-2-9b-it,,google,,,,,,,,,2024-06-24,,gemma-2-9b-it_2026-03-05_Nebius,,,,Gemma 2 9B
glm-4,GLM-4,,https://bigmodel.cn/pricing,[to be] Discontinued in June 2025,,,,,,,,,,2024-01-17,,,,,,GLM-4
gpt-3.5-turbo-0125,GPT-3.5 Turbo,2024-01-25,https://platform.openai.com/docs/models#gpt-3-5-turbo,"The latest GPT-3.5 Turbo model with higher accuracy at responding in requested formats and a fix for a bug which caused a text encoding issue for non-English language function calls.
This model had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-35.",,GPT-3.5 Turbo (Jan 2024),2021-09-01,"A January 2024 preview version of GPT-3.5 Turbo, OpenAI's updated GPT-3.5 series model.",,,GPT-3.5 Turbo,GPT-3.5 Turbo,,2023-06-13,,gpt-3.5-turbo-0125_2026-03-05_OpenAI,GPT-3.5 Turbo (Jan 2024),,,GPT-3.5 Turbo
gpt-3.5-turbo-1106,GPT-3.5 Turbo,2023-11-06,https://platform.openai.com/docs/models#gpt-3-5-turbo,"GPT-3.5 Turbo model with improved instruction following, JSON mode, reproducible outputs, parallel function calling, and more

Knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-35.",,GPT-3.5 Turbo (Nov 2023),2021-09-01,"A November 2023 preview of GPT-3.5 turbo, OpenAI's updated GPT-3.5 series model.",,,GPT-3.5 Turbo,GPT-3.5 Turbo,,2023-06-13,,,GPT-3.5 Turbo (Nov 2023),,,GPT-3.5 Turbo
gpt-4-0125-preview,GPT-4 Turbo (Nov 2023),2024-01-25,https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023 (supported by https://github.com/HaoooWang/llm-knowledge-cutoff-dates?tab=readme-ov-file).",,GPT-4 Turbo Preview (January 2024),2023-12-01,"A January 2024 preview version of GPT-4 Turbo, OpenAI's updated GPT-4 series model.",,,,,,2023-11-06,,,,,,GPT-4 Turbo (Nov 2023)
gpt-4-1106-preview,GPT-4 Turbo (Nov 2023),2023-11-06,https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023.
This model appears to have had a knowledge cutoff date of April 1, 2023, according to https://www.datacamp.com/blog/gpt4-turbo.",,GPT-4 Turbo Preview (Nov 2023),2023-04-01,"A November 2023 preview of GPT-4 turbo, OpenAI's updated GPT-4 series model.",,,,,,2023-11-06,,gpt-4-1106-preview_2026-03-05_OpenAI,,,,GPT-4 Turbo (Nov 2023)
